fails,distance_cm,is_denied,severity
3,30,1,3
4,74,0,0
2,134,1,3
4,99,1,1
4,50,1,1
1,139,0,0
2,61,1,3
2,35,1,0
2,43,1,2
4,121,1,0
3,9,0,0
2,128,0,0
4,49,1,3
1,13,1,2
3,131,1,3
1,55,1,1
3,127,1,2
4,79,1,0
0,47,1,0
3,112,0,0
1,83,1,3
4,133,0,1
3,97,0,2
0,14,1,2
0,38,0,3
2,70,0,1
2,19,0,2
1,99,1,3
3,67,0,1
3,14,0,1
2,35,1,2
3,101,1,2
3,47,0,1
0,17,1,2
2,8,1,3
4,137,0,1
2,86,0,2
4,93,0,2
0,112,1,3
1,23,0,2
3,29,0,2
0,54,1,2
3,26,1,0
1,8,1,3
1,94,1,3
0,37,0,0
1,136,0,3
4,84,0,2
1,10,1,2
3,134,0,2
3,140,1,3
3,37,1,3
3,27,1,1
4,29,0,0
2,137,1,3
0,35,0,1
3,111,0,0
1,58,0,0
3,121,1,2
1,107,0,2
1,90,0,1
3,67,1,1
4,131,0,2
1,77,1,2
1,76,0,0
3,114,1,0
1,27,1,3
1,137,1,2
3,88,1,0
3,94,1,1
0,117,0,0
4,16,0,2
4,18,0,0
1,13,0,2
4,120,1,0
1,32,1,3
0,21,0,3
3,39,1,1
3,68,0,1
3,53,1,2
4,101,1,2
0,41,0,2
4,82,0,0
4,129,1,0
0,89,0,0
0,31,0,1
0,63,0,2
0,38,0,0
3,69,1,1
2,18,1,3
2,69,1,2
0,83,1,3
2,98,0,1
2,7,0,2
0,76,0,0
2,139,1,1
4,92,1,3
1,45,1,3
1,29,1,3
0,74,0,1
3,10,0,1
0,132,0,2
3,27,1,2
1,111,1,3
0,72,1,1
4,13,1,2
2,55,1,1
3,22,1,0
2,90,0,1
2,93,1,3
0,104,1,1
2,81,1,3
4,40,0,2
2,32,0,2
0,72,1,2
4,131,0,0
1,69,0,3
2,93,0,0
0,47,1,0
1,104,0,2
1,130,0,3
3,85,0,1
4,16,1,1
2,21,0,3
0,48,1,1
3,99,0,2
4,23,1,2
3,15,1,0
4,120,1,2
4,42,1,1
2,42,1,0
4,54,0,3
3,57,0,3
4,103,0,0
2,125,1,2
2,101,1,0
3,76,1,0
1,80,0,2
1,86,1,3
4,74,1,0
0,83,1,3
4,122,1,1
